Country_Code,Country,Year,Download_Speed_Fixed,Download_Speed_Mobile,Download_Speed_Fixed_Normalized,Download_Speed_Mobile_Normalized,Quality_Index
ARE,United Arab Emirates,2019,72.63637976,66.65790172,0.22763746926421605,0.13307650486834216,0.18035698706627912
ARE,United Arab Emirates,2020,118.725077,162.9776113,0.3954006661667804,0.36359276654907213,0.37949671635792626
ARE,United Arab Emirates,2021,185.3981335,341.3316882,0.6380910821587881,0.7904370255463221,0.7142640538525551
ARE,United Arab Emirates,2022,201.6261077,261.0072625,0.6971610275917768,0.5982013303313497,0.6476811789615633
ARE,United Arab Emirates,2023,234.6595582,343.7420542,0.8174030303488633,0.7962056118722687,0.806804321110566
ARE,United Arab Emirates,2024,284.8234595,428.896204,1.0,1.0,1.0
EGY,"Egypt, Arab Rep.",2019,10.09873983,16.63502993,0.0,0.013359725676977413,0.006679862838488706
EGY,"Egypt, Arab Rep.",2020,18.48641822,17.70023483,0.030531211024895397,0.01590901753575375,0.023220114280324576
EGY,"Egypt, Arab Rep.",2021,22.16350663,21.09893555,0.043915839879615594,0.024042926867107087,0.033979383373361344
EGY,"Egypt, Arab Rep.",2022,20.98634803,25.26261424,0.039630973918467254,0.03400761271015714,0.0368192933143122
EGY,"Egypt, Arab Rep.",2023,24.8787771,27.63684319,0.05379944435926194,0.03968971437257542,0.04674457936591868
EGY,"Egypt, Arab Rep.",2024,30.77323996,31.60161218,0.07525533251916414,0.049178361400143464,0.0622168469596538
GBR,United Kingdom,2019,57.2466651,36.00949538,0.17161879472161878,0.059727487447345275,0.11567314108448203
GBR,United Kingdom,2020,67.13558293,48.28115695,0.2076145283486422,0.08909652896607986,0.148355528657361
GBR,United Kingdom,2021,94.20257169,77.57912978,0.3061385664931271,0.1592136337730231,0.2326761001330751
GBR,United Kingdom,2022,120.8941973,96.85148534,0.4032962800110881,0.20533702198551723,0.30431665099830263
GBR,United Kingdom,2023,159.8203211,95.13003691,0.544987656916516,0.20121718131645694,0.37310241911648645
GBR,United Kingdom,2024,200.7401444,114.1404611,0.6939361146641587,0.24671370467966325,0.470324909671911
IND,India,2019,29.61525588,11.05275609,0.0710402619518305,0.0,0.03552013097591525
IND,India,2020,47.51205281,12.02470605,0.13618473439500078,0.0023261103287883786,0.06925542236189458
IND,India,2021,70.94559856,15.99115239,0.22148301326174574,0.011818771658862264,0.11665089246030401
IND,India,2022,70.33504309,36.51545998,0.21926058686075278,0.06093838258649554,0.14009948472362416
IND,India,2023,82.77128363,176.7733888,0.2645285938858885,0.3966093845408217,0.3305689892133551
IND,India,2024,93.53878218,168.9776385,0.30372236779503636,0.37795227662398506,0.3408373222095107
SAU,Saudi Arabia,2019,39.79561973,43.90528134,0.10809686123502815,0.07862400479012933,0.09336043301257874
SAU,Saudi Arabia,2020,71.38704266,122.5070482,0.2230898730322472,0.26673696253340873,0.24491341778282796
SAU,Saudi Arabia,2021,93.81869715,150.7200818,0.30474126034440807,0.334257546477271,0.31949940341083954
SAU,Saudi Arabia,2022,102.2484268,158.5776485,0.33542553826496,0.3530625959265386,0.3442440670957493
SAU,Saudi Arabia,2023,131.8261711,127.8821934,0.4430887450398322,0.27960097949211854,0.3613448622659754
SAU,Saudi Arabia,2024,161.7697902,112.8843796,0.5520837387774482,0.24370759914831472,0.3978956689628815
