2024 India ,2024,2022,2020,2018,2016,2014,2012,2010,2008,2005,2004,2003
E-Government Development Index rank,97,105,100,96,107,118,125,119,113,87,86,87
E-Government Development Index value,0.66776,0.5883,0.5964,0.5669,0.46375,0.38343,0.38287,0.35673,0.3814,0.40013,0.38789,0.37309
E-Participation Index rank,61,61,29,15,27,40,75,58,49,57,59,41
E-Participation Index value,0.6575,0.5909,0.8571,0.9551,0.76271,0.62745,0.1842,0.2,0.25,0.15873,0.13114,0.2586
Online Service Index value,0.81842,0.7934,0.8529,0.9514,0.74638,0.5433,0.53594,0.36825,0.47826,0.58269,0.56756,0.52183
Telecommunication Infrastructure Index value,0.57004,0.3954,0.3515,0.2009,0.14298,0.13723,0.11017,0.05832,0.0435,0.0277,0.02613,0.02744
Human Capital Index value,0.61487,0.5761,0.5848,0.5484,0.50189,0.4698,0.50249,0.64326,0.6195,0.59,0.57,0.57
