Country_Code,Country,Year,FI_Structure_Access_Index,FI_behavior_Usage_Index,FI_Index
ARE,United Arab Emirates,2017,0.8402516641564985,0.5468039124000716,0.6935277882782851
ARE,United Arab Emirates,2021,0.8061224734925929,0.1882762421411051,0.497199357816849
EGY,"Egypt, Arab Rep.",2017,0.07384415149055165,0.035020894510343674,0.054432523000447666
EGY,"Egypt, Arab Rep.",2021,0.0,0.0,0.0
EGY,"Egypt, Arab Rep.",2024,0.2166702109895279,0.05489846254966027,0.1357843367695941
GBR,United Kingdom,2017,0.9530283551152009,1.0,0.9765141775576005
GBR,United Kingdom,2021,1.0,0.8925027284159326,0.9462513642079663
GBR,United Kingdom,2024,0.9933770824496921,,0.9933770824496921
IND,India,2017,0.7249979728812617,0.140901065458905,0.43294951917008334
IND,India,2021,0.6925558381457213,0.11553990062841643,0.4040478693870689
IND,India,2024,0.8515132735627405,0.23145079755990572,0.5414820355613231
SAU,Saudi Arabia,2017,0.6119269736336408,0.20962423243591372,0.4107756030347772
SAU,Saudi Arabia,2021,0.6481915846922665,0.4841267073484903,0.5661591460203783
SAU,Saudi Arabia,2024,0.7106950518612812,0.4801186918285721,0.5954068718449267
